name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Silicon Power SP016GLLTU160N22 16 GB,16.95,"3,1600","2,8",1.059,Green,13.75,11
Crucial CT51264BA160B 4 GB,10.29,"3,1600","1,4",2.572,Green,13.75,11
Patriot Viper 3 16 GB,25.99,"3,1866","2,8",1.624,Black / Silver,10.718,10
Corsair Vengeance 16 GB,75.98,"3,1600","2,8",4.749,Black / Yellow,11.25,9
Patriot Signature 8 GB,18.98,"3,1600","1,8",2.373,Black / Green,13.75,11
G.Skill Ripjaws X 16 GB,36.99,"3,1600","2,8",2.312,Black / Red,12.5,10
Kingston HyperX Fury 16 GB,,"3,1866","2,8",,Black / Silver,10.718,10
G.Skill Ripjaws X 8 GB,32.52,"3,1600","2,4",4.065,Black / Red,11.25,9
Corsair VS2GB1333D3 G 2 GB,,"3,1333","1,2",,Black / White,13.503,9
Timetec 75TT133U2R8-8G 8 GB,11.99,"3,1333","1,8",1.499,Green / Black,13.503,9
Patriot Signature 8 GB,14.99,"3,1600","1,8",1.874,Blue / Silver,13.75,11
TEAMGROUP Elite 16 GB,16.98,"3,1600","2,8",1.061,Black,13.75,11
Kingston KVR1333D3N9HK4/32G 32 GB,,"3,1333","4,8",,Green,13.503,9
Samsung M378B5173DB0-CK0 4 GB,18.89,"3,1600","1,4",4.723,Green,13.75,11
Kingston HyperX Fury 16 GB,,"3,1600","2,8",,Blue / Silver,12.5,10
Crucial CT2KIT51264BD160B 8 GB,20.89,"3,1600","2,4",2.611,Green,13.75,11
G.Skill Ripjaws Z 32 GB,,"3,1600","4,8",,Black / Red,12.5,10
Patriot Viper 3 16 GB,25.99,"3,1600","2,8",1.624,Black / Silver,11.25,9
Timetec FBA_75TT160UL1R8-4G 16 GB,16.98,"3,1600","2,8",1.061,Black,13.75,11
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,"3,1333","2,4",6.249,Green,13.503,9
Corsair Vengeance 8 GB,60.98,"3,1600","2,4",7.622,Black / Silver,11.25,9
SK Hynix HMT41GU6MFR8C-PB 8 GB,,"3,1600","1,8",,Blue,13.75,11
G.Skill Value 4 GB,14.72,"3,1600","1,4",3.68,Green,13.75,11
Samsung M471B5273DH0-CK0 4 GB,10.25,"3,1600","1,4",2.562,Green,13.75,11
Crucial CT102464BD160B 8 GB,16.98,"3,1600","1,8",2.123,Black / Green,13.75,11
Corsair Vengeance 32 GB,,"3,2133","4,8",,Black / Silver,9.376,10
Corsair Vengeance 16 GB,149.06,"3,1600","4,4",9.316,Black / Yellow,11.25,9
Kingston HyperX Fury 8 GB,,"3,1600","2,4",,Black / Silver,12.5,10
Kingston KVR16N11/8 8 GB,24.36,"3,1600","1,8",3.045,Green,13.75,11
Kingston HyperX Fury 8 GB,,"3,1600","1,8",,Blue / Silver,12.5,10
G.Skill Ripjaws X 16 GB,49.61,"3,1600","2,8",3.101,Black / Blue,11.25,9
G.Skill NS 2 GB,12.7,"3,1333","1,2",6.35,Green,13.503,9
